Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
239/300,119500,104.28,6.14,0.97,0.77,3.58,-43.85,1.0
240/300,120000,101.96,6.26,0.98,0.89,2.76,-34.0,1.0
241/300,120500,101.18,6.19,0.97,0.79,6.56,-44.75,1.0
242/300,121000,103.14,6.16,0.96,0.86,1.55,-40.83,1.0
243/300,121500,100.33,6.12,0.98,0.93,2.68,-32.84,1.0
244/300,122000,101.82,6.15,0.97,0.91,1.64,-31.98,1.0
245/300,122500,102.32,6.12,1.0,0.8,4.58,-40.31,1.0
246/300,123000,98.68,6.11,0.93,0.9,2.58,-34.48,1.0
247/300,123500,100.95,6.0,0.91,0.88,3.26,-36.47,1.0
248/300,124000,100.29,5.9,0.86,0.89,3.74,-33.29,1.0
249/300,124500,104.66,5.95,0.85,0.93,3.84,-32.44,1.0
250/300,125000,101.71,5.89,0.88,0.94,1.76,-27.62,1.0
251/300,125500,104.03,5.85,0.83,0.87,2.71,-34.77,1.0
252/300,126000,101.98,5.94,0.81,0.85,3.58,-36.9,1.0
253/300,126500,101.58,5.97,0.82,0.85,5.05,-34.31,1.0
254/300,127000,104.18,5.96,0.84,0.9,2.35,-31.59,1.0
255/300,127500,101.76,5.93,0.87,0.9,2.89,-29.11,1.0
256/300,128000,99.6,5.83,0.9,0.85,4.83,-35.67,1.0
257/300,128500,95.46,5.96,0.93,0.93,3.54,-33.73,1.0
258/300,129000,103.65,5.94,0.9,0.91,1.9,-27.89,1.0
259/300,129500,102.3,5.9,0.89,0.93,3.26,-33.85,1.0
260/300,130000,100.81,5.96,0.91,0.94,2.36,-30.06,1.0
261/300,130500,105.46,5.97,0.91,0.84,4.29,-38.53,1.0
262/300,131000,99.37,5.92,0.91,0.96,1.68,-26.32,1.0
263/300,131500,101.96,5.86,0.93,0.91,2.05,-29.76,1.0
264/300,132000,101.38,5.84,0.88,0.89,2.43,-28.93,1.0
265/300,132500,104.66,5.88,0.9,0.86,3.09,-35.17,1.0
266/300,133000,100.68,5.84,0.87,0.88,5.48,-37.85,1.0
267/300,133500,104.94,5.8,0.91,0.84,5.81,-40.87,1.0
268/300,134000,100.44,5.76,0.89,0.92,2.22,-28.13,1.0
269/300,134500,99.89,5.84,0.89,0.92,3.85,-33.53,1.0
270/300,135000,103.56,5.83,0.88,0.91,2.63,-30.17,1.0
271/300,135500,95.97,5.81,0.93,0.94,2.42,-29.46,1.0
272/300,136000,100.5,5.84,0.9,0.96,1.14,-29.92,1.0
273/300,136500,101.82,5.76,0.9,0.84,4.06,-36.08,1.0
274/300,137000,102.54,5.69,0.89,0.91,3.75,-32.33,1.0
275/300,137500,99.81,5.69,0.9,0.93,3.51,-29.73,1.0
276/300,138000,103.88,5.74,0.92,0.94,4.04,-31.84,1.0
277/300,138500,101.21,5.81,0.91,0.94,2.92,-28.38,1.0
278/300,139000,104.04,5.75,0.93,0.89,4.16,-31.17,1.0
279/300,139500,104.38,5.7,0.91,0.88,3.5,-28.9,1.0
280/300,140000,102.27,5.68,0.92,0.91,3.6,-34.29,1.0
