tag: 
learn: normal
env: RandDynObstEnv-v1
render: False
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 350
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [46]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f37752ac2b0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
180/350             90000               99.96               5.43                1.01                0.96                0.55                -25.79              0.4                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
181/350             90500               98.44               5.52                0.97                0.54                0.74                -52.81              0.7                 
182/350             91000               99.3                5.64                0.98                0.64                0.18                -49.35              0.7                 
183/350             91500               100.09              5.49                1.0                 0.71                0.0                 -46.25              0.7                 
184/350             92000               98.61               5.27                0.97                0.68                0.94                -46.89              0.7                 
185/350             92500               99.41               5.27                0.98                0.78                0.63                -39.26              0.7                 
186/350             93000               99.39               5.18                0.98                0.76                0.71                -41.19              0.7                 
187/350             93500               99.86               5.24                0.98                0.79                1.27                -40.82              0.7                 
188/350             94000               99.86               5.22                0.94                0.82                0.05                -38.03              0.7                 
189/350             94500               99.63               5.3                 0.95                0.83                0.02                -34.34              0.7                 
190/350             95000               99.83               5.14                0.95                0.86                0.11                -32.04              0.7                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
191/350             95500               100.35              5.11                0.93                0.9                 0.06                -31.25              0.7                 
192/350             96000               98.16               5.05                0.92                0.45                0.35                -67.07              1.0                 
193/350             96500               98.52               4.98                0.92                0.48                1.56                -62.47              1.0                 
194/350             97000               98.87               5.0                 0.92                0.46                1.14                -63.59              1.0                 
195/350             97500               98.9                5.04                0.88                0.42                1.12                -68.62              1.0                 
196/350             98000               99.65               5.06                0.89                0.46                0.98                -65.37              1.0                 
197/350             98500               98.98               5.08                0.92                0.49                0.49                -63.14              1.0                 
198/350             99000               98.85               5.05                0.9                 0.46                0.53                -63.75              1.0                 
199/350             99500               99.22               5.06                0.91                0.53                0.54                -60.12              1.0                 
200/350             100000              99.57               5.1                 0.88                0.54                1.92                -56.09              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
201/350             100500              99.0                5.1                 0.92                0.54                0.04                -56.46              1.0                 
202/350             101000              99.76               5.14                0.92                0.52                1.14                -59.33              1.0                 
203/350             101500              99.69               5.2                 0.86                0.55                0.04                -55.65              1.0                 
204/350             102000              99.81               5.2                 0.88                0.56                0.78                -56.95              1.0                 
205/350             102500              100.62              5.28                0.88                0.63                0.69                -49.65              1.0                 
206/350             103000              100.04              5.35                0.88                0.65                0.41                -45.91              1.0                 
207/350             103500              100.26              5.39                0.88                0.65                1.57                -49.77              1.0                 
208/350             104000              100.08              5.3                 0.87                0.66                0.58                -47.75              1.0                 
209/350             104500              100.16              5.31                0.87                0.59                0.28                -51.58              1.0                 
210/350             105000              100.26              5.34                0.84                0.72                0.38                -45.64              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
211/350             105500              100.37              5.37                0.85                0.8                 0.83                -39.23              1.0                 
212/350             106000              100.79              5.31                0.89                0.72                0.97                -43.25              1.0                 
213/350             106500              100.42              5.34                0.84                0.8                 0.11                -35.54              1.0                 
214/350             107000              101.26              5.38                0.84                0.89                1.24                -35.5               1.0                 
215/350             107500              100.55              5.29                0.85                0.75                0.71                -39.16              1.0                 
216/350             108000              100.46              5.38                0.83                0.81                1.01                -37.95              1.0                 
217/350             108500              100.99              5.41                0.86                0.9                 0.52                -29.36              1.0                 
218/350             109000              100.67              5.53                0.86                0.86                1.77                -37.36              1.0                 
219/350             109500              100.73              5.72                0.88                0.82                1.07                -37.12              1.0                 
220/350             110000              100.69              5.75                0.89                0.82                2.17                -37.92              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
221/350             110500              100.49              5.85                0.87                0.81                2.91                -36.84              1.0                 
222/350             111000              100.58              5.82                0.87                0.69                2.68                -44.5               1.0                 
223/350             111500              100.22              5.92                0.87                0.84                2.41                -36.98              1.0                 
224/350             112000              101.45              5.84                0.87                0.84                2.19                -35.74              1.0                 
225/350             112500              101.49              5.8                 0.84                0.88                1.63                -35.17              1.0                 
226/350             113000              101.5               5.79                0.89                0.95                1.56                -30.81              1.0                 
227/350             113500              100.97              5.79                0.89                0.79                4.45                -41.37              1.0                 
228/350             114000              101.0               5.82                0.88                0.76                3.83                -42.1               1.0                 
229/350             114500              101.35              5.85                0.92                0.74                3.26                -42.4               1.0                 
230/350             115000              101.63              5.84                0.88                0.83                3.1                 -37.4               1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
231/350             115500              101.87              5.85                0.89                0.81                2.59                -37.12              1.0                 
232/350             116000              102.12              5.81                0.85                0.82                3.84                -41.7               1.0                 
233/350             116500              102.42              5.8                 0.87                0.81                3.85                -39.8               1.0                 
234/350             117000              102.08              5.84                0.9                 0.86                1.85                -34.73              1.0                 
