tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: lift_drawer_2
control_mode: position
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1/drawer
play_epoch: best
epochs: 150
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f3113904460>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
127/150             63500               169.45              15.9                0.66                0.98                1.99                -43.12              0.1                 
128/150             64000               167.02              16.57               0.65                1.0                 1.86                -39.45              0.1                 
129/150             64500               168.23              16.52               0.64                0.96                3.03                -46.55              0.1                 
130/150             65000               167.66              14.41               0.73                0.93                2.84                -46.09              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
131/150             65500               170.46              14.49               0.7                 1.0                 0.7                 -39.5               0.1                 
132/150             66000               170.44              16.66               0.65                1.0                 1.21                -41.06              0.1                 
133/150             66500               172.45              15.76               0.68                0.94                2.93                -46.1               0.1                 
134/150             67000               169.8               14.86               0.7                 1.0                 1.36                -40.14              0.1                 
135/150             67500               170.03              15.71               0.66                1.0                 1.0                 -40.89              0.1                 
136/150             68000               172.44              15.23               0.69                0.99                1.93                -41.85              0.1                 
137/150             68500               169.44              15.52               0.66                0.99                1.0                 -39.76              0.1                 
138/150             69000               168.17              14.92               0.66                0.96                2.74                -42.61              0.1                 
139/150             69500               172.11              14.35               0.68                1.0                 1.05                -39.87              0.1                 
140/150             70000               166.84              14.58               0.62                0.97                1.71                -41.92              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
141/150             70500               171.19              14.74               0.63                1.0                 0.83                -38.67              0.1                 
142/150             71000               169.23              15.74               0.63                1.0                 1.21                -40.31              0.1                 
143/150             71500               170.0               15.73               0.61                1.0                 0.75                -38.38              0.1                 
144/150             72000               173.2               15.4                0.65                0.93                6.6                 -48.52              0.1                 
145/150             72500               170.64              16.25               0.61                1.0                 0.98                -38.46              0.1                 
146/150             73000               166.89              16.39               0.6                 1.0                 1.0                 -39.87              0.1                 
147/150             73500               168.98              16.95               0.6                 1.0                 0.94                -39.4               0.1                 
148/150             74000               170.02              15.94               0.64                0.99                2.11                -43.23              0.1                 
149/150             74500               169.65              16.01               0.61                1.0                 1.16                -40.2               0.1                 
150/150             75000               167.46              16.37               0.6                 0.64                13.23               -68.6               0.1                 
