tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 400
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7ff6decbfca0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
169/400             84500               122.36              5.98                0.92                0.85                4.89                -39.07              1.0                 
170/400             85000               120.38              5.98                0.88                0.85                5.97                -38.78              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
171/400             85500               122.51              5.93                0.84                0.82                7.98                -45.18              1.0                 
172/400             86000               116.63              6.0                 0.89                0.82                6.67                -40.51              1.0                 
173/400             86500               120.49              6.0                 0.88                0.88                4.82                -38.96              1.0                 
174/400             87000               118.77              5.98                0.88                0.82                6.93                -44.11              1.0                 
175/400             87500               118.75              5.95                0.85                0.81                7.91                -47.12              1.0                 
176/400             88000               119.6               6.09                0.87                0.8                 4.98                -43.1               1.0                 
177/400             88500               123.59              6.17                0.88                0.83                4.8                 -38.36              1.0                 
178/400             89000               121.55              6.25                0.93                0.85                5.85                -42.03              1.0                 
179/400             89500               120.5               6.3                 0.91                0.9                 2.74                -36.42              1.0                 
180/400             90000               116.35              6.35                0.94                0.9                 4.1                 -35.68              1.0                 


